species_label,species,family,Tag,growth_form,mesh_size,diameter_class,diameter_1 size_cm,diameter_2 size_cm,diameter_3 size_cm,Bark thickness_1 _mm,Bark thickness_2 _mm,Bark thickness_3 _mm,Bark thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces/g,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks/g
F58,Cunninghamia lanceolata,,T0508,Trees,Invertebrates blocked,2.5 cm,2.2,2.2,2.6,0.93,0.9,1.02,0.83,19.5,71.44,8.03,10.57,5.52,9.12
F58,Cunninghamia lanceolata,,T0504,Trees,Invertebrates blocked,2.5 cm,1.9,2,2.1,1.02,0.73,0.89,1.06,20,64.36,5.76,7.35,3.22,5.82
F58,Cunninghamia lanceolata,,T0514,Trees,Invertebrates blocked,2.5 cm,3.5,3,2.8,1.95,0.99,1.86,1.56,21,125.33,11.21,13.62,6.37,11.52
F58,Cunninghamia lanceolata,,T0532,Trees,Invertebrates blocked,2.5 cm,2.8,2.7,2.8,1.33,1.21,0.88,0.97,20.5,107.85,10.65,13.05,5.99,11.05
F58,Cunninghamia lanceolata,,T0522,Trees,Invertebrates blocked,2.5 cm,2.3,2.6,2.6,1.46,0.62,1.52,0.74,21,93.73,8.97,10.65,4.96,9.04
F58,Cunninghamia lanceolata,,T0506,Trees,Invertebrates blocked,2.5 cm,2.5,2.5,2.8,0.72,0.7,0.97,1.25,20,93.41,10.44,12.86,5.83,11.27
F58,Cunninghamia lanceolata,,T0502,Trees,Invertebrates blocked,2.5 cm,2,2,1.9,0.76,0.72,0.99,0.93,20.5,60.34,6.62,7.94,3.93,7.05
F58,Cunninghamia lanceolata,,T0528,Trees,Invertebrates blocked,2.5 cm,2.3,2.5,2.8,1.16,1.11,1.23,1.12,20.7,101.1,7.39,9.04,4.11,7.9
F58,Cunninghamia lanceolata,,T0530,Trees,Invertebrates blocked,2.5 cm,2.6,3,3,1.29,0.77,1.39,1.11,21,115.89,9.8,12.8,5.4,10.09
F58,Cunninghamia lanceolata,,T0578,Trees,Invertebrates blocked,5.0 cm,3.9,3.8,3.9,1.35,1.37,1.27,0.83,20,211.17,27.13,30.91,15.83,27.06
F58,Cunninghamia lanceolata,,T0574,Trees,Invertebrates blocked,5.0 cm,3.1,3,3.2,1.31,0.68,1.54,1.01,20,134.64,20.56,22.82,12.35,19.69
F58,Cunninghamia lanceolata,,T0566,Trees,Invertebrates blocked,5.0 cm,3.3,3.4,3.3,1.07,1.19,1.27,0.94,19.5,142.73,16.08,20.05,9.88,18
F58,Cunninghamia lanceolata,,T0554,Trees,Invertebrates blocked,5.0 cm,2.9,3,3.4,1.31,0.88,1.17,1.02,19.8,131.93,13.65,15.62,7.26,13.57
F58,Cunninghamia lanceolata,,T0564,Trees,Invertebrates blocked,5.0 cm,3.1,3,2.9,1.36,0.96,1.31,1.29,19,120.6,14.57,16.59,8.59,14.43
F58,Cunninghamia lanceolata,,T0560,Trees,Invertebrates blocked,5.0 cm,3.3,3.1,3.2,1.74,1.78,0.79,1.7,20,130.38,17.5,21.76,10.41,19.05
F58,Cunninghamia lanceolata,,T0558,Trees,Invertebrates blocked,5.0 cm,3,3.1,3.4,1.23,1.34,1.12,1.87,20,133.73,15.83,19.45,NA,NA
F58,Cunninghamia lanceolata,,T0580,Trees,Invertebrates blocked,5.0 cm,3.8,3.8,4,1.31,1.3,1.16,1.67,20.5,230.28,25.7,30.15,14.24,25.04
