"","species_label","species","family","Tag","growth_form","mesh_size","diameter_class","diameter_1.size_cm","diameter_2.size_cm","diameter_3.size_cm","Bark.thickness_1._mm","Bark.thickness_2._mm","Bark.thickness_3._mm","Bark.thickness_4_mm","length_cm","Wet_weight_of_wood_block_g","Wet_weight_of_small_pieces_of_wood_g","Volume_of_wet_small_pieces.g","Dry_weight_of_small_wood_blocks_g","Dry_volume_of_small_wood_blocks.g","av_bark_thickness","density","av_wd_diameter","wd_under_bark","bark_wd_ratio","initial_mass","Carbon_wood","Carbon_bark","cellulose_wood","cellulose_bark","Nitrogen_wood","Nitrogen_bark","hemicellulose_wood","hemicellulose_bark","Tannins_wood","Tannins_bark","ADL_wood","ADL_bark","Calcium_wood","Calcium_bark","Potassium_wood","Potassium_bark","magesium_wood","magesium_bark","Manganese_wood","Manganese_bark","Phosphorous_wood","Phosphorous_bark","sugars_wood","sugars_bark","Silicon_wood","Silicon_bark","mean_density","density_class","block","Harvest","Time_months","incubation_time","log_fresh_weight","wood_weight","disck_fresh_weight","disk_fresh_volume","disck_dry_weight","disck_dry_volume","Bark_fresh_mass_at_harvest","Bark_fresh_volume_at_harvest","Dry_bark_mass_at_harvest","Dry_bark_volume_at_harvest","bark_mass_fresh","f_wood_mass","f_bark_mass","final_mass","per_ml","W_D_prop"
"42","F58","Cunninghamia lanceolata",NA,"T0574","Trees","Invertebrates blocked","5.0 cm",3.1,3,3.2,1.31,0.68,1.54,1.01,20,134.64,20.56,22.82,12.35,19.69,1.135,0.627221940071102,3.06666666666667,2.95316666666667,0.768666403295897,80.8756809338521,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",106.95,88.9,8.69,11.475,7.482,10.765,4.565,1.69,2.73,1.49,18.16,76.5419792865362,10.8601971522453,92.0828423475259,-13.8572699286947,10.8500665049836
"48","F58","Cunninghamia lanceolata",NA,"T0580","Trees","Invertebrates blocked","5.0 cm",3.8,3.8,4,1.31,1.3,1.16,1.67,20.5,230.28,25.7,30.15,14.24,25.04,1.36,0.568690095846645,3.86666666666667,3.73066666666667,0.729092208720515,127.594832684825,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","4","24 months","24",124.15,47.49,4.895,5.785,3.635,4.895,16.855,13.985,3.935,12.025,76.77,35.2658120531154,17.9228685849896,92.1931052093974,27.7454241135879,17.9125850242429
"52","F58","Cunninghamia lanceolata",NA,"T0556","Trees","Invertebrates blocked","5.0 cm",2.8,2.8,3.2,1.03,0.72,0.59,1.02,19,105.95,14.03,16.82,8.8,15.18,0.84,0.579710144927536,2.93333333333333,2.84933333333333,0.589611605053814,66.4547398431932,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","4","4","24 months","24",79.36,39.32,4.805,6.28,3.125,6.145,2.045,0,1.825,0,40.15,25.5723204994797,35.830684596577,51.6129032258065,22.3337517420241,35.8202935487642
"60","F58","Cunninghamia lanceolata",NA,"T0507","Trees","Invertebrates access","2.5 cm",2.6,2.6,2.3,0.56,0.58,0.67,0.73,21,104.81,8.76,9.95,5.1,8.86,0.635,0.575620767494357,2.5,2.4365,0.521239482864765,61.0195205479452,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","4","4","24 months","24",60.15,58.44,19.61,21.015,12.315,19.485,0.58,0,0.39,0,1.82,36.700081591025,1.22379310344828,37.7739546149923,38.0952942996135,1.21352062449001
"62","F58","Cunninghamia lanceolata",NA,"T0519","Trees","Invertebrates access","2.5 cm",2.4,2.3,2.3,0.91,0.95,1.02,0.96,20.5,80.4,10.04,11.21,5.66,10.45,0.96,0.541626794258373,2.3,2.204,0.871143375680581,45.3250996015936,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","4","24 months","24",18.19,18.2,2.39,2.895,1.855,2.495,0.1,0,0.1,0,0.1,14.1259414225941,0.1,14.118179916318,68.8512986393491,0.0892920825804923
"65","F65","Piper umbellatum",NA,"T1078","Trees","Invertebrates blocked","5.0 cm",4.1,4.4,4.1,1.52,1.35,1.12,1.22,20,309.51,36.3,33.98,12.6,24.93,1.3025,0.505415162454874,4.3,4.16975,0.624737694106361,107.433223140496,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","2","4","24 months","24",163.7,153.2,17.97,21.405,5.755,18.275,3.07,0,1.33,0,10.61,49.0632164718976,4.59651465798045,52.4259042849193,51.2014042282253,4.58631083930082
"68","F65","Piper umbellatum",NA,"T1076","Trees","Invertebrates blocked","5.0 cm",4.8,4.5,4.7,1.62,2.13,2.18,1.82,19.5,394.89,50.12,46.11,18.96,32.57,1.9375,0.582130795210316,4.56666666666667,4.37291666666667,0.886136255359695,149.383766959298,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","4","4","24 months","24",151.49,145.67,10.515,22.18,4.32,20.36,1.83,0,1.205,0,5.93000000000001,59.8473038516405,3.90472677595629,62.2384022824536,58.3365692609615,3.89455968405145
"69","F65","Piper umbellatum",NA,"T1080","Trees","Invertebrates blocked","5.0 cm",3.7,3.8,3.6,1.29,1.56,1.22,1.09,19.5,242.92,25.24,23.2,10.21,16.57,1.29,0.616173808086904,3.73333333333333,3.60433333333333,0.715805049477481,98.2651822503962,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","1","4","24 months","24",119.64,114.03,18.115,28.665,8.925,21.465,1.61,0,1.295,0,5.72,56.1809412089429,4.60086956521739,58.9449075351918,40.01445254028,4.59069156891144
"71","F65","Piper umbellatum",NA,"T1055","Trees","Invertebrates access","5.0 cm",4.4,4.4,4.2,1.34,0.92,0.85,1.29,19.5,314.46,35.73,32.92,13.54,22.19,1.1,0.610184767913474,4.33333333333333,4.22333333333333,0.520915548539858,119.16564231738,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","3","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"77","F65","Piper umbellatum",NA,"T1073","Trees","Invertebrates access","5.0 cm",4.1,4,3.9,1.1,1.4,1.72,1.24,20,273.62,25.73,24.19,8.23,16.32,1.365,0.504289215686274,3.96666666666667,3.83016666666667,0.712762717027109,87.5201165954139,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","4","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"85","F65","Piper umbellatum",NA,"T1007","Trees","Invertebrates access","2.5 cm",2.4,2.3,2.4,1.97,0.85,1.51,1.18,19,95.51,16.33,15.45,5.77,10.98,1.3775,0.525500910746812,2.33333333333333,2.19558333333333,1.25479181690515,33.7472565829761,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","4","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"86","F65","Piper umbellatum",NA,"T1027","Trees","Invertebrates access","2.5 cm",2.5,2.4,2.5,1.09,1.18,1.22,1.21,21.5,104.81,11.15,10.92,3.25,6.38,1.175,0.509404388714734,2.43333333333333,2.31583333333333,1.01475350845628,30.55,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","3","4","24 months","24",22.64,22.65,2.775,8.65,1.19,7.635,0.1,0,0.1,0,0.1,9.71297297297298,0.1,9.70868468468469,68.220344730983,0.0889704491067951
"87","F65","Piper umbellatum",NA,"T1031","Trees","Invertebrates access","2.5 cm",2.5,2.5,2.2,1.25,0.88,1.1,0.67,20.5,105.41,10.64,9.97,4.11,7.31,0.975,0.562243502051984,2.4,2.3025,0.846905537459283,40.7175845864662,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","1","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"91","F65","Piper umbellatum",NA,"T1005","Trees","Invertebrates access","2.5 cm",2.5,2.5,2.5,0.96,0.84,1.24,1.16,20.5,111.69,12.59,12.32,3.65,7.01,1.05,0.520684736091298,2.5,2.395,0.876826722338205,32.3803415409055,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","2","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"95","F65","Piper umbellatum",NA,"T1069","Trees","Invertebrates access","5.0 cm",4.6,4.9,4.6,1.36,0.99,1.26,1,19.5,363.99,41.62,39.55,15.02,25.31,1.1525,0.593441327538522,4.8,4.68475,0.492021986231923,131.358236424796,47.625,43.3,50.69,32.21,0.056675,0.1457,16.2575,14.36,0.2075,0.27,19.465,19.34,2.3,7.38,10.225,11.06,0.68,1.29,15.575,59.2,0.7525,1.14,2.13,1.9,1.815,31.58,0.554738493520699," medium","2","4","24 months","24",103.21,103.22,13.015,30.465,7.66,27.05,0.1,0,0.1,0,0.1,60.7503034959662,0.1,60.7444179792547,53.7566736334561,0.0898353917688549
