date,Tag,log_fresh_weight,wood_weight,subsection,disk_fresh_weight,disk_fresh_volume,disk_dry_weight,disk_dry_volume,Bark_fresh_mass_at_harvest,Bark_fresh_volume_at_harvest,Dry_bark_mass_at_harvest,Dry_bark_volume_at_harvest,Harvest,Time_months,incubation_time,block
6.12.2022,L3915,28.3,0,2,3,3.39,2.53,2.95,0,0,0,0,1,6 months,6,3
6.12.2022,T1059,34.41,0,1,3.01,4.44,2.02,3.41,0,0,0,0,1,6 months,6,1
6.12.2022,L0927,34.99,0,2,3.01,6.34,2.63,5.95,0,0,0,0,1,6 months,6,3
6.12.2022,L0429,10.1,0,2,3.03,6.3,2.56,5.63,0,0,0,0,1,6 months,6,4
6.12.2022,L0856,33.76,0,2,3.04,9.32,2.51,8.01,0,0,0,0,1,6 months,6,4
6.12.2022,T0751,59.59,0,2,3.05,7.6,2.66,7.44,0,0,0,0,1,6 months,6,2
6.12.2022,T1126,27.84,0,1,3.05,6.93,2.66,6.71,0,0,0,0,1,6 months,6,4
6.12.2022,T0228,30.27,0,1,3.07,6.27,2.59,5.75,0,0,0,0,1,6 months,6,3
6.12.2022,T1126,27.84,0,2,3.07,7.24,2.62,6.77,0,0,0,0,1,6 months,6,4
6.12.2022,T0225,17.8,0,1,3.09,5.01,2.67,4.71,0,0,0,0,1,6 months,6,1
6.12.2022,L0967,38.18,0,1,3.11,5.6,2.63,5.12,0,0,0,0,1,6 months,6,4
6.12.2022,L1024,39.76,0,2,3.11,6.5,2.35,5.9,0,0,0,0,1,6 months,6,4
6.12.2022,L0912,46.34,0,1,3.12,6.33,2.62,6.21,0,0,0,0,1,6 months,6,3
6.12.2022,L0908,37.95,0,1,3.12,7.22,2.67,6.3,0,0,0,0,1,6 months,6,4
6.12.2022,L3808,28.67,0,1,3.14,6.94,2.64,6.34,0,0,0,0,1,6 months,6,3
6.12.2022,L0414,25.01,0,1,3.14,5.83,2.68,5.35,0,0,0,0,1,6 months,6,4
6.12.2022,L2967,30.39,0,1,3.16,9.07,2.74,8.45,0,0,0,0,1,6 months,6,3
6.12.2022,T0604,46.63,0,1,3.17,6.48,2.29,8.52,0,0,0,0,1,6 months,6,1
6.12.2022,T0832,39.33,0,2,3.18,11.31,2.5,10.04,0,0,0,0,1,6 months,6,1
6.12.2022,L1059,34.93,0,1,3.18,3.9,2.28,3.37,0,0,0,0,1,6 months,6,3
6.12.2022,T0715,23.32,0,2,3.18,6.9,2.98,6.66,0,0,0,0,1,6 months,6,4
6.12.2022,L0874,35.79,0,2,3.19,7.72,2.34,6.53,0,0,0,0,1,6 months,6,1
6.12.2022,L3811,42.58,0,2,3.19,11.31,2.47,10.45,0,0,0,0,1,6 months,6,1
6.12.2022,T0327,38.94,0,2,3.2,6.725,2.62,6.18,0,0,0,0,1,6 months,6,1
6.12.2022,L0882,55.33,0,2,3.2,11.41,2.64,10.12,0,0,0,0,1,6 months,6,3
6.12.2022,T0832,39.33,0,1,3.22,11.72,2.4,10.34,0,0,0,0,1,6 months,6,1
6.12.2022,T0228,30.27,0,2,3.24,6.56,2.7,6.18,0,0,0,0,1,6 months,6,3
6.12.2022,T0361,38.18,0,1,3.25,5.82,2.79,5.42,0,0,0,0,1,6 months,6,4
6.12.2022,T1125,27.32,0,2,3.27,5.67,2.78,5.28,0,0,0,0,1,6 months,6,2
6.12.2022,T0218,32.91,0,2,3.28,7.4,2.61,6.87,0,0,0,0,1,6 months,6,4
6.12.2022,T0708,37.63,0,2,3.32,8.38,2.8,8.2,0,0,0,0,1,6 months,6,2
6.12.2022,T0110,68.95,0,1,3.32,6.56,2.67,6.28,0,0,0,0,1,6 months,6,2
6.12.2022,L0959,27.93,0,1,3.32,6.95,2.89,6.61,0,0,0,0,1,6 months,6,3
6.12.2022,T0206,34.38,0,2,3.33,6.16,2.76,5.76,0,0,0,0,1,6 months,6,2
6.12.2022,T1104,38.04,0,1,3.34,8.49,2.53,7.67,0,0,0,0,1,6 months,6,1
6.12.2022,L2921,46.97,0,1,3.35,7.25,2.81,6.79,0,0,0,0,1,6 months,6,2
6.12.2022,T1011,13.02,0,1,3.37,5.24,3.01,4.97,0,0,0,0,1,6 months,6,4
6.12.2022,L0929,41.1,0,2,3.39,5.36,2.24,4.94,0,0,0,0,1,6 months,6,2
6.12.2022,L2921,46.97,0,2,3.39,7.45,2.95,6.94,0,0,0,0,1,6 months,6,2
6.12.2022,L3811,42.58,0,1,3.41,10.65,2.65,9.66,0,0,0,0,1,6 months,6,1
6.12.2022,T0604,46.63,0,2,3.43,6.96,2.01,10.49,0,0,0,0,1,6 months,6,1
6.12.2022,L4506,54.75,0,1,3.46,13.89,1.89,10.21,0,0,0,0,1,6 months,6,1
6.12.2022,T0008,29.81,0,1,3.46,9.6,2.9,9.48,0,0,0,0,1,6 months,6,3
6.12.2022,T0904,37.82,0,1,3.47,5.13,2.84,5.22,0,0,0,0,1,6 months,6,4
6.12.2022,T0218,32.91,0,1,3.47,7.5,2.8,6.92,0,0,0,0,1,6 months,6,4
6.12.2022,T0361,38.18,0,2,3.51,6.24,3.11,5.98,0,0,0,0,1,6 months,6,4
6.12.2022,L4020,33.79,0,1,3.53,5.56,1.95,5.31,0,0,0,0,1,6 months,6,2
6.12.2022,L0424,48.11,0,2,3.54,7.76,2.89,6.85,0,0,0,0,1,6 months,6,3
6.12.2022,T0108,45.17,0,2,3.57,8.83,2.38,7.65,0,0,0,0,1,6 months,6,1
6.12.2022,L0871,38.26,0,2,3.58,14.41,2.65,9.37,0,0,0,0,1,6 months,6,1
6.12.2022,L3822,51.3,0,1,3.59,7.38,1.76,6.12,0,0,0,0,1,6 months,6,1
6.12.2022,L0823,32.12,0,1,3.6,7.97,2.99,7,0,0,0,0,1,6 months,6,2
6.12.2022,L4015,32.66,0,2,3.61,9.08,3.19,8.73,0,0,0,0,1,6 months,6,3
6.12.2022,L0456,115.27,0,2,3.65,10.38,2.96,9.35,0,0,0,0,1,6 months,6,2
6.12.2022,L0424,48.11,0,1,3.65,7.92,2.89,6.84,0,0,0,0,1,6 months,6,3
6.12.2022,T0126,24.76,0,1,3.67,8.11,3.15,7.54,0,0,0,0,1,6 months,6,3
6.12.2022,L4545,50.39,0,1,3.67,10.09,1.84,7.9,0,0,0,0,1,6 months,6,4
6.12.2022,L3863,27.28,0,1,3.69,5.34,3.15,4.95,0,0,0,0,1,6 months,6,1
6.12.2022,L0124,47.51,0,1,3.69,9.57,2.78,8.35,0,0,0,0,1,6 months,6,2
6.12.2022,L3806,27.23,0,1,3.69,7.82,3.04,7.15,0,0,0,0,1,6 months,6,4
6.12.2022,T0653,62.2,0,2,3.7,6.04,3.14,5.67,0,0,0,0,1,6 months,6,1
6.12.2022,T0601,31.22,0,1,3.72,6.02,3.42,5.49,0,0,0,0,1,6 months,6,3
6.12.2022,T0614,31.52,0,2,3.73,8.12,3.06,7.71,0,0,0,0,1,6 months,6,2
6.12.2022,L4104,36.18,0,2,3.74,7.67,3.21,7.31,0,0,0,0,1,6 months,6,2
6.12.2022,T0751,59.59,0,1,3.76,8.86,3.33,8.12,0,0,0,0,1,6 months,6,2
6.12.2022,T0224,37.3,0,1,3.77,9.05,3,8.36,0,0,0,0,1,6 months,6,1
6.12.2022,T0279,20.34,0,1,3.77,5.28,3.4,4.74,0,0,0,0,1,6 months,6,4
6.12.2022,T0102,34.89,0,1,3.77,8.16,3.18,7.84,0,0,0,0,1,6 months,6,4
6.12.2022,T1130,29.77,0,1,3.78,9.86,3.26,11.73,0,0,0,0,1,6 months,6,2
6.12.2022,L0874,35.79,0,1,3.8,5.58,2.95,7.22,0,0,0,0,1,6 months,6,1
6.12.2022,L2964,23.06,0,1,3.81,10.68,2.61,9.62,0,0,0,0,1,6 months,6,4
6.12.2022,T1059,34.41,0,2,3.82,5.77,2.74,5.13,0,0,0,0,1,6 months,6,1
6.12.2022,T0619,21.8,0,2,3.88,8.11,3.31,7.89,0,0,0,0,1,6 months,6,4
6.12.2022,L0419,34.71,0,1,3.92,8.67,3.27,7.83,0,0,0,0,1,6 months,6,2
6.12.2022,L3903,35.01,0,1,3.94,11.85,3.26,10.52,0,0,0,0,1,6 months,6,2
6.12.2022,L4028,49.22,0,1,3.97,9.23,2.77,7.46,0,0,0,0,1,6 months,6,4
6.12.2022,L4114,38.81,0,2,4,9.48,3.37,8.78,0,0,0,0,1,6 months,6,3
6.12.2022,T0405,59.72,0,2,4.01,5.38,3.4,4.94,0,0,0,0,1,6 months,6,3
6.12.2022,L1073,65.13,0,1,4.02,7.03,2.23,4.95,0,0,0,0,1,6 months,6,1
6.12.2022,L0430,50.16,0,2,4.02,7.34,3.14,6.38,0,0,0,0,1,6 months,6,1
6.12.2022,L0870,41.62,0,1,4.02,9.88,3.29,8.99,0,0,0,0,1,6 months,6,2
6.12.2022,T0708,37.63,0,1,4.03,8.37,3.51,7.86,0,0,0,0,1,6 months,6,2
6.12.2022,L4104,36.18,0,1,4.04,7.96,3.47,7.78,0,0,0,0,1,6 months,6,2
6.12.2022,L1211,30.37,0,2,4.05,9.54,3.62,8.76,0,0,0,0,1,6 months,6,4
6.12.2022,T0521,42.36,0,2,4.06,6.22,3.47,5.82,0,0,0,0,1,6 months,6,2
6.12.2022,T0928,39.7,0,1,4.08,5.31,3.39,5.09,0,0,0,0,1,6 months,6,1
6.12.2022,L2923,34.92,0,2,4.1,8.79,3.28,8.09,0,0,0,0,1,6 months,6,1
6.12.2022,L4101,31.73,0,2,4.1,7.77,3.67,7.35,0,0,0,0,1,6 months,6,4
6.12.2022,L0124,47.51,0,2,4.13,10.48,3.5,10.12,0,0,0,0,1,6 months,6,2
6.12.2022,L0856,33.76,0,1,4.14,10.71,3.46,9.24,0,0,0,0,1,6 months,6,4
6.12.2022,T0928,39.7,0,2,4.15,5.63,3.42,5.33,0,0,0,0,1,6 months,6,1
6.12.2022,L3903,35.01,0,2,4.15,12.96,3.47,11.94,0,0,0,0,1,6 months,6,2
6.12.2022,T0420,46.9,0,2,4.15,5.22,3.06,4.95,0,0,0,0,1,6 months,6,2
6.12.2022,T0107,37.77,0,1,4.16,8.67,3.33,7.92,0,0,0,0,1,6 months,6,1
6.12.2022,T0921,36.53,0,2,4.16,6.06,3.48,5.64,0,0,0,0,1,6 months,6,2
6.12.2022,T0953,43.72,0,1,4.16,6.24,3.46,5.83,0,0,0,0,1,6 months,6,2
6.12.2022,L0823,32.12,0,2,4.16,9.12,3.43,7.84,0,0,0,0,1,6 months,6,2
6.12.2022,L0919,42.51,0,2,4.16,8.54,3.67,8.08,0,0,0,0,1,6 months,6,4
6.12.2022,T0903,43.83,0,1,4.17,5.72,3.47,5.41,0,0,0,0,1,6 months,6,1
6.12.2022,L0453,92.69,0,2,4.17,12.47,3.37,10.73,0,0,0,0,1,6 months,6,4
6.12.2022,L0870,41.62,0,2,4.19,9.97,3.38,8.77,0,0,0,0,1,6 months,6,2
6.12.2022,T0904,37.82,0,2,4.2,6.29,3.6,5.9,0,0,0,0,1,6 months,6,4
6.12.2022,L4028,49.22,0,2,4.2,9.127,3.08,8.19,0,0,0,0,1,6 months,6,4
6.12.2022,T0521,42.36,0,1,4.21,6.67,3.5,6.13,0,0,0,0,1,6 months,6,2
6.12.2022,T0520,47.03,0,2,4.22,6.84,3.45,6.35,0,0,0,0,1,6 months,6,1
6.12.2022,L0104,48.18,0,2,4.23,12.33,3.25,11.05,0,0,0,0,1,6 months,6,4
6.12.2022,T0107,37.77,0,2,4.24,8.66,3.39,7.9,0,0,0,0,1,6 months,6,1
6.12.2022,L4103,47.71,0,1,4.24,9.83,3.47,8.93,0,0,0,0,1,6 months,6,2
6.12.2022,T0315,38.96,0,1,4.25,7.28,3.39,6.8,0,0,0,0,1,6 months,6,2
